inputs,targets
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Слідчі встановили, що інспектори обласного управління Держпраці з 6 до 12 червня 2018 року перевіряли об'єкт незавершеного будівництва в с. Угорники, яке веде ТОВ «Філ-буд».","Слідчі встановили, що інспекторки обласного управління Держпраці з 6 до 12 червня 2018 року перевіряли об'єкт незавершеного будівництва в с. Угорники, яке веде ТОВ «Філ-буд»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Працівники, які виконували будівельні роботи, повідомили інспекторам, що працюють без належного документального укладення трудових відносин та отримують «зарплату в конверті».","Працівники, які виконували будівельні роботи, повідомили інспекторкам, що працюють без належного документального укладення трудових відносин та отримують «зарплату в конверті»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Після перевірки інспектор Винник Н. В. склав Акт інспекційного відвідування юридичної особи, у якому зафіксував порушення, розмір штрафних санкцій за які становить 1,00 млн грн.","Після перевірки інспекторка Винник Н. В. склала Акт інспекційного відвідування юридичної особи, у якому зафіксувала порушення, розмір штрафних санкцій за які становить 1,00 млн грн."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Однак, як встановили правоохоронці, начальник обласного Управління Держпраці, діючи всупереч інтересам служби, з корисливих мотивів та в інтересах третіх осіб, виніс постанову про накладення штрафу на ТОВ «Філ-буд» у розмірі 3,7 тис грн., тобто зменшив розмір штрафу у 270 разів.","Однак, як встановили правоохоронниці, начальниця обласного Управління Держпраці, діючи всупереч інтересам служби, з корисливих мотивів та в інтересах третіх осіб, винесла постанову про накладення штрафу на ТОВ «Філ-буд» у розмірі 3,7 тис грн., тобто зменшила розмір штрафу у 270 разів."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суд надав слідчим дозвіл на вилучення документів з Управління Держпраці, які стосуються перевірки ТОВ «Філ-буд».","Суд надав слідчим дозвіл на вилучення документів з Управління Держпраці, які стосуються перевірки ТОВ «Філ-буд»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Керівником та засновником ТОВ «Філ-буд» є Віталій Свєтловський.",Керівницею та засновницею ТОВ «Філ-буд» є Юлія Свєтловська.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Дружина народного депутата від Опозиційного блока Юрія Мірошниченка Софія намагається продати будинок у штаті Каліфорнія США за 4,5 мільйона доларів.","Чоловік народної депутатки від Опозиційного блока Ольги Мірошниченко Максим намагається продати будинок у штаті Каліфорнія США за 4,5 мільйона доларів."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2013 році мати Юрія Мірошниченка Валентина Кочура придбала двоповерховий будинок і 35 соток землі у Каліфорнії за адресою 4546 White Oak AveEncino, CA 91316-3829, які раніше належали американському комедійному актору, зірці серіалу “2,5 людини” Райану Стайлзу і його дружині.","У 2013 році мати Ольги Мірошниченко Валентина Кочура придбала двоповерховий будинок і 35 соток землі у Каліфорнії за адресою 4546 White Oak AveEncino, CA 91316-3829, які раніше належали американській комедійній акторці, зірці серіалу “2,5 людини” Олександрі Стайлз і її чоловіку."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Валентина Кочура вже через місяць переоформила будинок на компанію Real Market Research Inc, яка належить дружині нардепа – Софії Мірошниченко.","Іван Кочура вже через місяць переоформив будинок на компанію Real Market Research Inc, яка належить чоловіку нардепки – Андрію Мірошниченко."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): За вказаним номером телефону та прізвищем нардепа можна знайти ще один маєток у тій самій місцевості за адресою 3905 Lake Vista Ct Encino, CA 91316.","За вказаним номером телефону та прізвищем нардепки можна знайти ще один маєток у тій самій місцевості за адресою 3905 Lake Vista Ct Encino, CA 91316."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): «Можливо, нардеп колись міг його знімати, проте яке саме відношення має депутат українського парламенту до цього будинку, встановити на вдалося», – пише журналіст.","«Можливо, нардепка колись могла його знімати, проте яке саме відношення має депутатка українського парламенту до цього будинку, встановити на вдалося», – пише журналістка."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): «Власником ВК «Промтехбуд» є Тертиця Анатолій Юрійович, уродженець м. Василівка Запорізької області, в той час як засновником ПМВКП «Ассоль» є Харченко Світлана Юріївна (дівоче прізвище Тертиця), яка також є уродженкою м. Василівка Запорізької області.","«Власником ВК «Промтехбуд» є Тертиця Анатолій Юрійович, уродженець м. Василівка Запорізької області, в той час як засновницею ПМВКП «Ассоль» є Харченко Світлана Юріївна (дівоче прізвище Тертиця), яка також є уродженкою м. Василівка Запорізької області."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Директором фірми «Ассоль» є Павло Харченко, екс-депутат Запорізької облради (2006-2010 рр.) від Прогресивної соціалістичної партії України.","Директоркою фірми «Ассоль» є Ірина Харченко, екс-депутатка Запорізької облради (2006-2010 рр.) від Прогресивної соціалістичної партії України."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Згідно із ЗУ «Про публічні закупівлі», дані учасники є пов'язаними особами, оскільки одна і та ж особа є їх засновником і володіє більше 25% у статутному капіталі обох підприємств.","Згідно із ЗУ «Про публічні закупівлі», дані учасники є пов'язаними особами, оскільки одна і та ж особа є їх засновницею і володіє більше 25% у статутному капіталі обох підприємств."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Про виявлені журналістами факти експерти ГО «Центр громадського моніторингу та досліджень» поінформували Держаудитслужбу та АМКУ.",Про виявлені журналістками факти експертки ГО «Центр громадського моніторингу та досліджень» поінформували Держаудитслужбу та АМКУ.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Директором «Інкор-Групп» є відомий одеський бізнесмен Руслан Тарпан, який раніше особисто значився власником цієї компанії.","Директоркою «Інкор-Групп» є відома одеська бізнесвумен Ганна Тарпан, яка раніше особисто значилася власницею цієї компанії."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): З цих грошей 282 грн. отримає фірма-посередник з оточення мера Староконстянтинова Миколи Мельничука.",З цих грошей 282 грн. отримає фірма-посередниця з оточення мера Староконстянтинова Марії Мельничук.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Очолює цю фірму Василь Пецух – керівник староконстянтинівського футбольного клубу «Случ».",Очолює цю фірму Олександра Пецух – керівниця староконстянтинівського футбольного клубу «Случ».
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): На виборах до Верховної Ради у 2014 році, коли міський голова Старокостянтинова Микола Мельничук балотувався у депутати, Пецух працював в його виборчому штабі.","На виборах до Верховної Ради у 2014 році, коли міська голова Старокостянтинова Валентина Мельничук балотувалася у депутатки, Пецух працювала в її виборчому штабі."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Мер особисто підтримував кандидатуру Пецуха на посаду керівника місцевої райспоживспілки.",Очільниця особисто підтримувала кандидатуру Пецухи на посаду керівниці місцевої райспоживспілки.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Одним з засновників «Сінтез ресурсу» минулого року був перший заступник директора ТОВ «Остхем Україна» Олег Кікта, зараз фірма перереєстрована на кіпрський офшор «Ганард венчерз лімітед».","Однією з засновниць «Сінтез ресурсу» минулого року була перша заступниця директорки ТОВ «Остхем Україна» Олена Кікта, зараз фірма перереєстрована на кіпрський офшор «Ганард венчерз лімітед»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Директором фірми є Олег Вотінцев, відомий як комерційний директор «Кримського титану», що контролюється групою Дмитра Фірташа.","Директоркою фірми є Олена Вотінцева, відома як комерційна директорка «Кримського титану», що контролюється групою Олексія Фірташа."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Держекоінспектори порахували, що сума збитків, зумовлених забрудненням земельних ресурсів, становить 6,19 млн грн., і звернулися до суду.","Держекоінспекторки порахували, що сума збитків, зумовлених забрудненням земельних ресурсів, становить 6,19 млн грн., і звернулися до суду."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Директором фірми є голова партії «Союз анархістів України», власник сайту «Храбро» Вадим Чорний.","Директоркою фірми є голова партії «Союз анархістів України», власниця сайту «Храбро» Наталія Чорна."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суд відмовив прокурору Макарівського району Київської області у задоволенні позову про скасування розпорядження райдержадміністрації, якими було змінено цільове призначення ділянок загальною площею 216,18 га.","Суд відмовив прокурорці Макарівського району Київської області у задоволенні позову про скасування розпорядження райдержадміністрації, якими було змінено цільове призначення ділянок загальною площею 216,18 га."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У червні 2014 року прокурор Макарівського району звернувся до суду з вимогою скасувати розпорядження РДА про зміну цільового призначення землі і визнати недійсними держакти ТОВ «Едельвейс-Девелопмент» на ділянки.",У червні 2014 року прокурорка Макарівського району звернулася до суду з вимогою скасувати розпорядження РДА про зміну цільового призначення землі і визнати недійсними держакти ТОВ «Едельвейс-Девелопмент» на ділянки.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновником ТОВ «Едельвейс-Девелопмент» є ТОВ «Едельвейс-Фінанс», засновниками якого є Ярослав Ватаманюк і «Райнер Холдінгс Корп.»","Засновницею ТОВ «Едельвейс-Девелопмент» є ТОВ «Едельвейс-Фінанс», засновниками якого є Ярослав Ватаманюк і «Райнер Холдінгс Корп.»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У Запоріжжі фонд працює з компанією-забудовником ТОВ «ІБК «Рассвет», яке належить екс-нардепу Петру Сабашуку.","У Запоріжжі фонд працює з компанією-забудовником ТОВ «ІБК «Рассвет», яке належить екс-нардепці Олені Сабашук."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Директором є Олена Павлишина.",Директоркою є Олена Павлишина.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Відмітимо, що вказаний «ЕСГ-Україна» телефон: (056) 744-19-40 також використовувався ТОВ «Міленіум ФЛО», де засновник та керівник є Вячеслав Шеремет.","Відмітимо, що вказаний «ЕСГ-Україна» телефон: (056) 744-19-40 також використовувався ТОВ «Міленіум ФЛО», де засновниця та керівниця є Ірина Шеремет."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): ПП «Ремоарт» належить Бердімурату Джумаєву, який влітку став й керівником компанії.","ПП «Ремоарт» належить Валентині Джумаєвій, яка влітку стала керівницею компанії."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Раніше до складу власників «СК інжинірингу» входила Лілія Близнюк, дружина колишнього губернатора Донецької області та міністра регіонального будівництва Анатолія Близнюка.","Раніше до складу власників «СК інжинірингу» входив Василь Близнюк, чоловік колишньої губернаторки Донецької області та міністерки регіонального будівництва Лілії Близнюк."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Іван Гветадзе є депутатом Донецької міськради від Партії регіонів, очолює постійну комісію з енергозбереження та енергоефективності міського господарства.","Олена Гветадзе є депутаткою Донецької міськради від Партії регіонів, очолює постійну комісію з енергозбереження та енергоефективності міського господарства."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Депутат Ленінської райради в Донецьку від Партії регіонів Теймураз Гветадзе також є бізнес-партнером дружини міністра молоді та спорту Ірини Сафіулліної (ТОВ «Тріол-Авто»).",Депутатка Ленінської райради в Донецьку від Партії регіонів Тамара Гветадзе також є бізнес-партнеркою чоловіка міністерки молоді та спорту Володимира Сафіулліна (ТОВ «Тріол-Авто»).
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновниками фірми є Микола Зенков та Микола Брунько, бізнес-партнер Андрія Альоші, депутата Донецької міської ради від «Сильної України».","Засновницями фірми є Надія Зенкова та Надія Брунько, бізнес-партнерка Олександри Альоші, депутатки Донецької міської ради від «Сильної України»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Журналісти зафіксували, що засновники компаній-конкурентів мають інший спільний бізнес.","Журналістки зафіксували, що засновниці компаній-конкуренток мають інший спільний бізнес."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Коли до замовників приходили лише ці дві компанії, їх пропозиції взагалі залишались незмінними.","Коли до замовниць приходили лише ці дві компанії, їх пропозиції взагалі залишались незмінними."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2017 році АМКУ розпочав розгляд справи про можливу змову на торгах цих двох компаній після звернення наших партнерів з ГО «Центр громадського моніторингу та досліджень».",У 2017 році АМКУ розпочала розгляд справи про можливу змову на торгах цих двох компаній після звернення наших партнерок з ГО «Центр громадського моніторингу та досліджень».
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Колишнього слідчого Глибоцького відділення поліції Василя Скіпора визнано винним у зловживанні впливом та засуджено до штрафу у 25,5 тис. грн.","Колишню слідчу Глибоцького відділення поліції Галину Скіпор визнано винною у зловживанні впливом та засуджено до штрафу у 25,5 тис. грн."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Згідно з матеріалами суду, у травні цього року слідчий Василь Скіпор погодився прийняти від представника підсудних 3 тис. євро за вплив на суддів Глибоцького райсуду щодо призначення трьом обвинуваченим у справі про крадіжку покарання, не пов'язаного з позбавленням волі.","Згідно з матеріалами суду, у травні цього року слідча Світлана Скіпор погодилась прийняти від представниці підсудних 3 тис. євро за вплив на суддів Глибоцького райсуду щодо призначення трьом обвинуваченим у справі про крадіжку покарання, не пов'язаного з позбавленням волі."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Крім цього, слідчий обіцяв вирішити з керівництвом Глибоцького відділу поліції питання щодо повернення раніше вилучених в обвинувачених речових доказів – мобільного телефону та автомобіля – до набрання вироком законної сили.","Крім цього, слідча обіцяла вирішити з керівництвом Глибоцького відділу поліції питання щодо повернення раніше вилучених в обвинувачених речових доказів – мобільного телефону та автомобіля – до набрання вироком законної сили."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): 29 травня підполковник поліції був затриманий правоохоронцями після отримання $600 хабара.",29 травня підполковниця поліції була затримана правоохоронцями після отримання $600 хабара.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): 26 червня між Скіпором та прокурором була укладена угода про визнання винуватості, відповідно до якої він отримав 25,5 тис грн штрафу.","26 червня між Скіпором та прокуроркою була укладена угода про визнання винуватості, відповідно до якої вона отримала 25,5 тис грн штрафу."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Власником і директором столичної фірми «ІКК «Гаєр» був Володимир Глазков.",Власницею і директоркою столичної фірми «ІКК «Гаєр» була Тетяна Глазкова.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновником «Пропріо-К» є ТОВ «Паладіс» і ТОВ «Юридичний центр «Еквітас» з групи братів Вячеслава та Олександра Супруненків.",Засновниками «Пропріо-К» є ТОВ «Паладіс» і ТОВ «Юридичний центр «Еквітас» з групи сестер Людмили та Олександри Супруненків.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): В'ячеслав Супруненко – депутат Київради, був одружений із дочкою екс-мера Києва Леоніда Чернівецького.","Вікторія Супруненко – депутатка Київради, була одружена із сином екс-очільниці Києва Олени Чернівецької."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Олександр Супруненко був народним депутатом від Партії регіонів у 2007-2012 роках.",Олена Супруненко була народною депутаткою від Партії регіонів у 2007-2012 роках.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Керівник апарату Верховної Ради Валентин Зайчук, його заступник Володимир Яловий, а також члени їхніх родин отримали земельні ділянки у Бучі, що під Києвом.","Керівниця апарату Верховної Ради Людмила Зайчук, її заступниця Наталія Ялова, а також члени їхніх родин отримали земельні ділянки у Бучі, що під Києвом."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2014 році це рішення оскаржила обласна прокуратура, яка наголошує, що Бучанська селищна рада та її голова Анатолій Федорук перевищили надані їм повноваження.","У 2014 році це рішення оскаржила обласна прокуратура, яка наголошує, що Бучанська селищна рада та її голова Галина Федорук перевищили надані їм повноваження."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Варто зауважити, що, за словами мера Федорука, вказані 890 га, цільове призначення яких було змінене у 2002 році, – це територія населеного пункту Буча.","Варто зауважити, що, за словами очільниці Лідії, вказані 890 га, цільове призначення яких було змінене у 2002 році, – це територія населеного пункту Буча."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Це мати Ірини Скарбовійчук, дружини Руслана Скарбовійчука, який донедавна був народним депутатом від Комуністичної партії.","Це мати Івана Скарбовійчука, чоловіка Ганни Скарбовійчук, яка донедавна була народною депутаткою від Комуністичної партії."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Скарбовійчук є однопартійцем і товаришем колишнього віце-спікера Ігоря Калєтніка, який оголошений в розшук за підозру у розкраданні грошей в особливо великих розмірах та фальсифікації підрахунку голосів під час пленарного засідання Верховної Ради 16 січня 2014 році.","Скарбовійчук є однопартійкою і товаришкою колишньої віце-спікерки Оксани Калєтнік, яка оголошена в розшук за підозру у розкраданні грошей в особливо великих розмірах та фальсифікації підрахунку голосів під час пленарного засідання Верховної Ради 16 січня 2014 році."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Службові особи лісових господарств Житомирської області разом з підрядниками впродовж 2012-2014 років привласнили понад 1 млн грн.",Службові особи лісових господарств Житомирської області разом з підрядницями впродовж 2012-2014 років привласнили понад 1 млн грн.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Приміром, слідство вказує, що одним із підрядників лісгоспів було ТОВ «Транспортно-лісові інвестиції України».","Приміром, слідство вказує, що одним із підрядниць лісгоспів було ТОВ «Транспортно-лісові інвестиції України»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Слідчі встановили, що значну частину робіт для «Народицького спецлісгоспу» виконували місцеві мешканці і працівники лісгоспу, які отримували мінімальну зарплату.","Слідчі встановили, що значну частину робіт для «Народицького спецлісгоспу» виконували місцеві мешканки і працівниці лісгоспу, які отримували мінімальну зарплату."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Суд надав слідчим доступ до документації останнього.",Суд надав слідчим доступ до документації останнього.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): У 2011 році директором фірми був тодішній депутат Ківерцівської райради (Волинська обл.)",У 2011 році директоркою фірми була тодішня депутатка Ківерцівської райради (Волинська обл.)
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Надалі засновниками компанії ставали лондонська компанія «Magnat Multinational Ltd» (засновником був Богдан Мітько, директором – новозеландець Ян Тейлор), а також Віталій Малюк і Наталія Завальна.","Надалі засновницями компанії ставали лондонська компанія «Magnat Multinational Ltd» (засновницею була Олена Мітько, директоркою – новозеландка Яна Тейлор), а також Едуард Малюк і Наталія Завальна."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Нинішнім засновником і директором компанії, яка торік змінила назву на ТОВ «Індустріальна компанія «Крона», є киянин Олександр Колосюк.","Нинішньою засновницею і директоркою компанії, яка торік змінила назву на ТОВ «Індустріальна компанія «Крона», є киянка Марія Колосюк."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновником і директором ПП «Індустріальна компанія «Магнат» був Руслан Дегтяр, а з 2015 року – Степан Ляпка з Алчевська Луганської області на непідконтрольній Україні території.","Засновницею і директоркою ПП «Індустріальна компанія «Магнат» була Надія Дегтяр, а з 2015 року – Олександр Ляпка з Алчевська Луганської області на непідконтрольній Україні території."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): За ним за період з квітня по липень 2012 ТОВ «Бюро Ейнштейн» передало ДП «Кіровоградський облавтодор» товару на загальну суму 21,83 млн грн., але шляховики заплатили лише 18,53млн. грн.","За нею за період з квітня по липень 2012 ТОВ «Бюро Ейнштейн» передало ДП «Кіровоградський облавтодор» товару на загальну суму 21,83 млн грн., але шляховики заплатили лише 18,53млн. грн."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): 11 червня Господарського суду Кіровоградської області прийняв рішення, що кіровоградські шляховики повинні виплатити ТОВ «Бюро Ейнштейн» заборгованість іншого дочірнього підприємства своєї материнської компанії ВАТ «ДАК «Автомобільні дороги України» – ДП «Шляхового ремонтно- будівельног управління №100».","11 червня Господарського суду Кіровоградської області прийняв рішення, що кіровоградські шляховики повинні виплатити ТОВ «Бюро Ейнштейн» заборгованість іншого дочірнього підприємства своєї материнської компанії ВАТ «ДАК «Автомобільні дороги України» – ДП «Шляхового ремонтно- будівельног управління №100»."
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Засновниками ТОВ «Бюро Ейнштейн» є Гущин Сергій Миколайович та Діденко Світлана Михайлівні.",Засновниками ТОВ «Бюро Ейнштейн» є Гущин Сергій Миколайович та Діденко Світлана Михайлівні.
"Перефразуй це речення, змінивши гендерні сутності на протилежні (чоловічий <-> жіночий): Керівником товариства з квітня 2012 року вказаний Безкоровайний Михайло Валентинович, повний тезка котрого з червня 2011 є керівником та підписантом ТОВ «Група Сігур».","Керівницею товариства з квітня 2012 року вказана Безкоровайна Михайлаина Валентинівна, повна тезка котрої з червня 2011 є керівницею та підписантом ТОВ «Група Сігур»."
